Country,Unique.Line.ID,Comment
UK,J16UK10032-16.2,Good company reputation. Good sales support. Not financially competitive.
France,J16FR10698-9.1,"Good image quality, easy to deploy, sturdy, compact equipment. High price for upgrades, after-sales follow-up not very good."
China,CNC0087.5,"Philips staff have good attitude and they are proactive and devoted. It's convenient to use and quality is guaranteed, it's a reliable product. "
USA,J16US15202-6.1,Quality of the  equipment. Innovative technology.  Availability for support. Aftercare. Upgrades. 
Japan,J16JP12236-2.2,0 Image quality is poor and gets in the way of using the equipment. The exposure dose is high. Usability is poor and gets in the way of providing treatment.
USA,J16US12003-6.2,"Again, I have limited experience with MRI in the radiation oncology setting, but look forward to working with Philips in the future to develop simulation solutions. "
USA,J16US16203-27.1,Very happy with images None that I can think off
China,CNE0208.3,The operation is easy to learn. The radiation dosage is low. The images are clear. The after-sales service is good. The training is well organized and comprehensive.  The software update is timely.  
China,CND0416.2,The blood flow images are not that good as they are not easy to see and the images are not very clear. 
Germany,J16DE10015-6.2,The equipment is robust and the images are good. 
Japan,J16JP10930-2.1,Energy-saving measures based on their excellent technological strength. I would like a bit more application variations for the image analysis system.
Japan,J16JP10636-24.1,"The usability is very good, and it does not break down. It is also easy to operate. It is expensive."
China,CNE0475.4,"It creates an online platform for academic exchange between doctors. By hosting a Case Challenge, it further enhances the academic standards of doctors in the diagnosis of difficult cases.It also allows doctors to express their unfulfilled academic aspirations through the wish wall activities.Finally, it also has a wealth of product knowledge and the video frontier which provides the most forward-looking academic knowledge. "
France,J16FR11614-9.1,"Easy to use, reliability, multi-purpose usage Image quality, battery performance (duration)"
USA,J16US13860-1.2,The product support is exemplary The  system can be expensive and the maintainence
India,INF148.1,Philips is one of the best brands in medical device market. Its Cathlab is excellent and the images are very clear.Technicians are happy with the performance. 
Brazil,BZA0027.1,"It offers an average image quality, it does not perform well in energy-saving mode. "
USA,J16US12865-9.2,we do not use this any more and i do not have a good or bad experience with this product same as above
France,J16FR11362-9.1,Very good device 
USA,J16US15750-1.2,Easy to use. Well designed lab tables. Reliable. 
USA,J16US16806-26.1,best lesion detection based off size little slow getting patients thru and price
Japan,J16JP10784-25.1,"The quality of scanned images is good, and I think the reproducibility and image adjustment functions are also excellent. 0"
China,CNE0115.2,"The brand is old enough, big enough, and trustworthy enough. It has a strong brand heritage and has professional service in the product description, the data introduction, and the after-sales.  "
Germany,J16DE10337-16.2,Excellent product quality and extremely good service. 
UK,J16UK10113-16.2,Good quality and service support. Expensive and can be a little tricky to use.
France,J16FR10469-9.2,"Good product, innovative. Too expensive"
Germany,J16DE10041-6.2,"Good performance, good support. "
France,J16FR11492-9.1,Image quality Not as easy to use
USA,J16US16134-25.1,Very reliable.Good back up support. 
France,J16FR10150-8.2,Reliable technique 
India,INE119.1,"The detectors are highly sensitive, are made of robust material and the portability allows to image immobile patients efficiently. "
China,CND0088.2,The quality is very good and the peak value is very easy to identify. The speed of the image restoration is fast. The algorithm is quite advanced. The service is quite good. The engineer and the customer service are all quite good who can provide support in many ways.  
India,INF105.2,I have used Siemens IXR machine. This was user friendly machine. Its design also was good with less space occupancy. We were getting good and on-time service from the team.  
Japan,J16JP11876-3.1,"They provide a quick repair response. They provide proactive cooperation in terms of parts, etc. My impression is that it takes time to resolve problems or problems are not responded to."
USA,J16US14473-15.1,"good images none notable, great reps"
China,CNE0284.1,Philips Healthcare is the famous supplier in the medical market. The market share of Philips is high. Philips is one of the three major brands and the world's earliest medical equipment supplier. The father of NMR started from Philips. 
USA,J16US10114-4.1,"Best customer service, overall best quality of machine "
Germany,J16DE11082-9.1,Good image quality. Poor battery life. Long wait times when booting up from standby mode.
Brazil,BZA0067.2,"The system provides images which are highly optimized and the artifacts are very low. These products define the accessible technology, with stellar outputs. "
India,INA0023.2,they are the leaders in their category. they have always been at the forefront of the technology 
USA,J16US10997-15.1,Good image quality and versatility Expensive
China,CNE0046.2,"We are using this brand now. It is convenient to operate, which provides better convenience for our clinical practice to help us do our jobs better.  "
USA,J16US11379-3.2,"Good image quality According to technologists, difficult to use, especially in reconstructions"
China,CNB0102.1,"The images are clear and imaging effect is great, it is easy to operate and the interface is user-friendly, and the 3D workstation of Philips is easy to use. "
India,ING00189.1,result are somewhat inaccurate and it looks that we need to work more on the output 
USA,J16US15381-3.2,Works well and great resolution Cost is higher than Siemens
Germany,J16DE11149-1.1,Very good image quality and dependable. 
India,INE545.1,It is highly robust system with high imaging quality. We are working with this syetm since years. It is easy and faster to operate. Scanning speed is very high not compromising on the results.  
Brazil,BZB54.3,"I would only give it a 5, not satisfied with the product as a whole, characteristics, cost, quality "
China,CNE0525.1,the quality is good and it is convenient to operate. The after-sale service is good and the brand is well-reputed. The device can improve the operation quality significantly. It is easy to move and use. It shortens operation time by providing two-dimensional images. 
India,INE547.2,"The system features a small footprint which leaves enough space for equipment and thus can be fitted in room. Also, it allows steepest angulations. "
USA,J16US16521-2.2,Easy to maneuver and reliable equipment 
India,IND0096.1,the machine enables superior visualization and gives the best quality pictures. the services engineers are highly knowledgeable so we are content with this product. 
Japan,J16JP10704-8.1,"There is a mode for the evaluation of newborns, and it is possible to monitor detailed parameters. 0"
Germany,J16DE10634-8.1,"Simple, unbureaucratic, good service. None."
Germany,J16DE10593-8.1,Relatively inexpensive for a technological solution. Relatively large.
UK,J16UK11541-8.2,Good user interface previously used and user friendly Bulky equipment
India,ING0068.2,IT’S A USEFULL PRODUCT FOR EVERY ONE AND TECHNIQUE IS GOOD EASY TO OPERATE THE SYSTEM 
China,CNE0203.2,Siemens has a great advantage in cardiac radiography apparatus and ultrasonic display. It also has a great advantage in heart-valve developing. It can clearly show whether the heart valve has calcified chordal and if the subvalvular structure is normal. 
France,J16FR11399-2.1,"They supply complete solutions and product and service consulting, they offer good value for money, they have the best technology for low exposure. Follow-ups are not always easy to obtain."
USA,J16US15519-6.2,good image quality and reliable up time . none
UK,J16UK10700-16.2,Efficient and reliable results and the team are quite happy 
India,INE556.3,It is highly cost-effective system from Philips. It promises high quality images and is easy to use. It has wireless portable detector which enhance the workflow. 
UK,J16UK11680-9.2,State of the art technology and good probes Expensive
