"Country","Unique.Line.ID","Comment","Ease.of.Use_POS_IMG","Reliability_POS_IMG","Innovation_POS_IMG","Connectivity_POS_IMG","Image.Quality_POS_IMG","Workflow.Experience_POS_IMG","Dose..CT..DXR.iXR.ONLY._POS_IMG","Uptime.MRI.Only._POS_IMG","Brand.Reputation_POS_IMG","Sales.Rep_POS_IMG","Trust_POS_IMG","Company.Experience_POS_IMG","Response.time_POS_IMG","Service.Parts_POS_IMG","Service.Rep_POS_IMG","Training.Application.Support_POS_IMG","Overall.Repair.Quality_POS_IMG","Overall.Communication_POS_IMG","Equipment.Price_POS_IMG","Service.Price_POS_IMG","On.time.Delivery_POS_IMG","Installation.Phase_POS_IMG","Other_POS_IMG","Ease.of.Use_NEG_IMG","Reliability_NEG_IMG","Innovation_NEG_IMG","Connectivity_NEG_IMG","Image.Quality_NEG_IMG","Workflow.Experience_NEG_IMG","Dose..CT..DXR.iXR.ONLY._NEG_IMG","Uptime.MRI.Only._NEG_IMG","Brand.Reputation_NEG_IMG","Sales.Rep_NEG_IMG","Trust_NEG_IMG","Company.Experience_NEG_IMG","Response.time_NEG_IMG","Service.Parts_NEG_IMG","Service.Rep_NEG_IMG","Training.Application.Support_NEG_IMG","Overall.Repair.Quality_NEG_IMG","Overall.Communication_NEG_IMG","Equipment.Price_NEG_IMG","Service.Price_NEG_IMG","On.time.Delivery_NEG_IMG","Installation.Phase_NEG_IMG","Other_NEG_IMG","Not.Useful"
"Germany","J16DE10013-1.1","Very good image quality with low radiation exposure. X-ray table is somewhat heavy to move.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10037-1.1","Innovative, reliable, safe. ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10053-1.1","Very good support. No negative experiences",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10057-1.1","Modern technology, easy operability. Expensive.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Germany","J16DE10057-1.2","Cheaper than Philips. Bad experience at contract closing, faulty hardware.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10073-1.1","Low dose, simple operability, relatively reliable, beautiful design. Only relatively reliable (defective tube <1 year! in one of 2 laboratories).",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10074-1.1","Easy handling, good service. Susceptible to frequent defects.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10079-1.1","Extensive service from on-site technician, many years of experience in the cardiovascular field. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10151-1.2","Fully functional system, use is user-friendly. ",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10179-1.1","Good image quality, well-established. Operability less fluid, moderate assistance on purchase. ",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Germany","J16DE10179-1.2","Easy operability. No experience with the latest models.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10187-1.1","Very good image quality. Difficult handling, not always intuitive.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10207-1.1","Needs few repairs, image quality good, good radiation protection. Moderate telephone support.",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Germany","J16DE10407-1.1","New devices with excellent image quality - Technical features for better display of stent. Moderate on-site service, frequent outages.",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Germany","J16DE10407-1.2","Very robust system, hardly any failures. High functionality. Fair regarding radiation protection.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10422-1.1","Good image quality, simple to use Faulty service could be improved.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Germany","J16DE10484-1.1","Innovative, reliable, good image quality. ",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10510-1.1","Good image quality, simple to use No longer up to date (e.g. echointegration, stent visualization). Frequent repairs.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10510-1.2","System is used by electrophysiology, I (an interventional cardiologist) rarely use the equipment. System is used by electrophysiology, I (an interventional cardiologist) rarely use the equipment.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Germany","J16DE10529-1.1","Offers a complete solution; very reliable. No significant negatives.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10538-1.1","The image quality and the service are good. ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10565-1.1","Newest technology, dependable. ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10565-1.2","Reliability, good customer service. ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10578-1.1","Very good image quality and operability. Sometimes error prone.",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10007-3.1","Good software, good maintenance, simple, safe handling. ",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10038-3.1","Good image quality, newest technology is provided. Service is not always immediately available, therefore use is not possible.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10038-3.2","Good image quality, good resolution. Expensive to buy and to maintain.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Germany","J16DE10044-3.1","Absolutely accommodating during product choice and price negotiations, good management before, during and after purchase, innovative, good remote support hardware AND software solutions for dose reduction. Sometimes noisy during scans.",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10096-3.1","Positive experiences so far, repair costs were tolerable, German companies. ----",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10127-3.1","Very good support by general electric, very fast service. No negative anomalies",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10197-3.2","Not the newest technology but very reliable. Too slow to provide support in the case of product failure.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10242-3.1","Good price-performance-ratio, very good service. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10242-3.2","Good image quality. Price-performance ratio.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Germany","J16DE10321-3.2","Stable operation, adequate image quality. ",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10338-3.1","Many years of experience with the brand. Customer service could be better",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Germany","J16DE10369-3.1","Good representatives. Field service is very busy.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Germany","J16DE10465-3.1","Very dependable, good image quality. Service could sometimes be faster.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10475-3.1","Good-Integration into existing systems, good image quality and easy to use, good service. Prone to repairs.",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10475-3.2","Good-Integration into existing systems, good image quality and easy to use, good service. Sometimes inflexible. ",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10511-3.1","Easy operability. Easy to learn user interface, good picture quality. Technology and radiation exposure up to date, good workflow. ",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","J16DE10015-4.2","Very good post-processing, e.g., intellispace, and for other organs like the lungs or prostate. Sometimes very slow re-work time.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
